job_title,company_name,work_genre,area,income,description,url
事務スタッフ(データ入力・資料作成),(有)熱海湯河原観光開発,事務スタッフ,東京都東京都新宿区大京町,月給 35万円 ～ 55万円,"事務スタッフさんとして書類作成に関する業務を推進いただける方を募集します。

※Excel、PowerPointが得意な方には簡単な作業です。



▢お任せするお仕事は



・報告書、資料、目録等の書類作成。

・目録の在庫管理

※目録の作成にはExcelをよく使用します。



調査業務のデータをプレゼン資料にしていただくお仕事になります。



「報告書」「資料」「目録」作成は、写真や図形を差し込んだり、データのグラフなどをバランスよく配置し、見やすく分かり易い書類を作成してください。





・早期昇級可

・賞与（年６回）



▼年収例／20代活躍中！

〈例1〉450万円／入社１年目

〈例2〉480万円／入社１年目



▼年収例／30代活躍中！

〈例3〉520万円／入社２年目



※年功序列による階級制度ナシ！

※本人の気持ちと頑張り方次第で早期昇級可！

※幅広い年齢層が活躍中！",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/4892128
事務スタッフ／月収35万円以上！オフィス系ソフト得意な方大歓迎！,(有)熱海湯河原観光開発,事務スタッフ,東京都新宿区新宿,月給 35万円 ～ 55万円,"学歴不問！経験者歓迎！正社員スタート！

事務アシスタントさんとして書類作成に関する業務を推進いただける方を募集します。



▢お任せするお仕事は



・報告書、資料、目録等の書類作成。

・目録の在庫管理

※目録の作成にはExcelをよく使用します。



調査業務のデータをプレゼン資料にしていただくお仕事になります。



「報告書」「資料」「目録」作成は、写真や図形を差し込んだり、データのグラフなどをバランスよく配置し、見やすく分かり易い書類を作成してください。





💎早期昇級可

💎賞与（年６回）



▼年収例／未経験20代活躍中！

〈例1〉450万円／入社１年目

〈例2〉480万円／入社１年目



▼年収例／未経験30代活躍中！

〈例3〉520万円／入社２年目



※年功序列による階級制度ナシ！若手活躍中！

※本人の気持ちと頑張り方次第で早期昇級可！

※20代活躍中！30代活躍中！40代活躍中！",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/2795532
未経験OK！覆面調査／土日休み／正社員／高卒OK！,(有)熱海湯河原観光開発,調査,東京都東京都新宿区大京町,月給 30万円 ～ 55万円,"未経験OK！学歴不問！正社員スタート！

調査員を募集しています！未経験者でも大歓迎です！



▢仕事内容

※グループ店舗の店員さんの「接客」を確認します



▢具体的な業務内容

✧接客態度のチェック

✧清掃状況、職場環境の確認

✧報告書、提案書等の作成



入社後は調査業務全般のお手伝いからお願いします。



💎早期昇給可

💎賞与（年６回）



▼年収例／未経験20代活躍中！

〈例1〉450万円／入社１年目

〈例2〉480万円／入社１年目



▼年収例／未経験30代活躍中！

〈例3〉520万円／入社２年目



※年功序列による階級制度ナシ！",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/4576463
事務スタッフ(資料作成・データ入力),(株)大倉ビル,事務スタッフ,東京都新宿区,月給 35万円 ～ 55万円,"✧✧事務スタッフ募集！✧✧



調査業務のデータをプレゼン資料にする為の、報告書、資料等の書類作成に携わっていただける事務スタッフを募集します。



▢お任せするお仕事



・報告書、資料等の書類作成

・在庫管理



写真や図形を差し込んだり、データのグラフなどをバランスよく配置し、見やすく分かり易い書類を作成してください。



学歴不問、Excel、Word、PowerPointが得意な方、是非ご応募ください。





・早期昇給

・賞与／年６回支給



▼年収例

〈例1〉入社5ヶ月目

　380,000✕12＝想定年収 4,560,000円



〈例2〉入社　3年目

　420,000✕12＝想定年収 5,040,000円",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6293041
【副業大歓迎】人生経験を活かせるアルバイト！結婚式場サービススタッフ【副業OK】,AILES FORTUNA 【エール・フォルトゥーナ】,ブライダルサービススタッフ,愛知県豊橋市,"時給 1,200円 ～ 1,500円","披露宴の中で新郎新婦の大切なゲストの皆様を

おもてなしして頂きます！

エール・フォルトゥーナの

「ワンランク上のおもてなし」で

一生一度の大切な1日をお手伝いして頂きます！



本格的な創作フレンチのフルコースなので

お料理の知識やお酒の知識も増えます！",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/4114262
交通費支給あり！週2～3日からOK！未経験OK！ホールスタッフ、サービススタッフ（フード）,BAR E CAFFE Roots,バーテンダー,大阪府泉佐野市,"時給 1,100円 ～ 1,300円","接客メインですが、洗い物や仕込み、簡単な調理など広い店内ではないので、全般的な業務をおこなっていただきます。

バーテンダーとして最低限の技術を身につけてもらい、お酒の提供と簡単な調理まで覚えていただき、ゆくゆくはワンオペでできるようになれば時給や、待遇も同時に上がっていきます。

経験者の方が有利ですが、未経験の方でもどんどん覚えていく方もいらっしゃるので、大丈夫です。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/5103556
英語講師,EAG,塾の先生,東京都豊島区,"時給 1,500円 ～ 2,200円","仕事内容:



英語専門　個別指導塾で、英語を指導するお仕事です。



生徒は、私立・国立小、中高一貫が98％以上になり。

講師1名に対して生徒2名 もしくは、 講師1名に対して生徒1名 どちらかの形式で、生徒に英語を指導するお仕事になります。



※最大は生徒2名を同時にご指導いただきます。 指導内容は、主に、英検対策、テスト対策、受験対策指導になります。



アピールポイント:



(1)当塾の生徒は、とても教えやすい生徒です。 塾長は東京学芸大学卒で、とても穏やかな方ばかりです。 生徒は主に、私立・国立小、中高一貫生になります。



(2)アットホームで自由度が高い働きやすい環境です。講師の先生方は全員、長期勤務の方です。講師の方々もとても穏やかで、働きやすい環境です。



(3)コマ給以外にも、休講保障、保護者との連絡手当、季節提案書手当、特別手当など、できるだけ講師の方の努力が、給与に反映されるようにしております。

※医学部受験を対応できる方は、別途、医学部受験生を指導する場合のみ、表示時給に加算あり。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/5161563
アシスタント、カラーリスト、スタイリスト、美容師,GOTHIC,美容師,大阪府大阪市淀川区,月給 23万円 ～ 30万円,"美容室でのお仕事全般です。ブランクのある方でも大丈夫です。シャンプー、カラー塗布が出来れば大丈夫です。営業時間内に練習指導しますので、残業はありません。スタイリストを目指す方は、まずカラー客から指名を頂き、そのお客様をカットできるように練習するといった教育プランがありますので、スムーズにスタイリストデビューができます。もちろん、スタイリストを目指さず、アシスタントとして働く方も大歓迎です。　パートも募集しております。お気軽に店内見学、相談をしてください。



HAIR COLOR CAFÉ　神崎川店　　　 

〒532-0032　大阪府大阪市淀川区三津屋北１-４-１８

 06-6306-6133",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/4403569
生花市場のパートスタッフ募集！！週３日のみの勤務になります！(月、水、金),Judas株式会社,生花市場の商品の搬入や仕分け,神奈川県横浜市磯子区洋光台,"時給 1,200円 ～ 1,500円","あなたにお任せするのは生花市場での商品の仕分け、搬入、清掃などになります。



専門職ではないので未経験の方なら誰でも簡単にスタートできるお仕事です。

特に、お花好きには必見のお仕事です！",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/3587391
自動車整備士（未経験可）◆賞与年2回／インセンティブ有り,K.Sホールディングス株式会社,自動車整備士,埼玉県越谷市,月給 22万円 ～,"当社では輸入車ブランドを取り扱い、かつ中古車事業等も展開しています。地域に寄り添った事業展開で、お客様に快適なカーライフをご提供しています。今回は埼玉県に店舗を構える『ボルボ・カー 越谷』にて勤務していただく、自動車整備士を募集します。



＜1日の業務の流れ＞

基本的には事前予約をいただいたお客様の対応をします。当日急遽修理等が発生したお客様もご来店されますので、分担するなどして対応をします。整備に慣れてきたら、お客様に対して整備内容のご説明をする業務もお任せします。

▼9：30　出社／全体朝礼後、メカニック・サービスチーム内にて1日の作業内容を確認、業務振り分けをします。

▼10：00　開店／整備業務を開始します。来店されたお客様の車の状態を確認し、ブレーキの摩耗やオイルなどの状態を点検します。

▼12：00　昼休憩／チームの仲間や営業メンバーと会話なども楽しみながら、気分転換をします。

▼13：00　午後は引き続き業務に戻ります。新車のアクセサリー取り付け業務が発生する場合もあります。

▼18：30　現場の片付け・清掃をし、1日の業務が終了となります。



＜教育体制＞

入社時は資格を持っていなくても問題ありません！まずは先輩の業務を見て勉強しながら、三級自動車整備士の資格取得を目指しましょう。資格取得に必要な費用は会社が負担しますのでご安心ください。また、現在資格を持っている方でも、さらにその上の二級、一級を目指すことも可能です。



＜職場環境＞

現在は19歳～50代までと幅広い世代の自動車整備士が所属しています。不明点なども気軽に聞けるような体制を整えています。部署を超えての交流もあり、活気ある雰囲気です！",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7358629
