job_title,company_name,work_genre,area,income,description,url,job_type
アシスタント、カラーリスト、スタイリスト、美容師,GOTHIC,美容師,"('大阪府大阪市淀川区',)","('月給 23万円 ～ 30万円',)","美容室でのお仕事全般です。ブランクのある方でも大丈夫です。シャンプー、カラー塗布が出来れば大丈夫です。営業時間内に練習指導しますので、残業はありません。スタイリストを目指す方は、まずカラー客から指名を頂き、そのお客様をカットできるように練習するといった教育プランがありますので、スムーズにスタイリストデビューができます。もちろん、スタイリストを目指さず、アシスタントとして働く方も大歓迎です。　パートも募集しております。お気軽に店内見学、相談をしてください。



HAIR COLOR CAFÉ　神崎川店　　　 

〒532-0032　大阪府大阪市淀川区三津屋北１-４-１８

 06-6306-6133",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/4403569,クリエイティブ系 
【WEBデザイナー・エンジニア】未経験者歓迎◆６ヵ月以上の充実した研修制度,フルスタック株式会社,webデザイナー,"('東京都清瀬市',)","('月給 22万円 ～ 50万円',)","━━━━━━━━━━━━━━━━

知識・経験ゼロからプロを目指せる！

＜6ヶ月以上の充実したIT研修あり＞

━━━━━━━━━━━━━━━━



【具体的には】



STEP1(入社前)／内定から入社までのプログラミング学習をサポート！

その後、共にキャリアプランを決めていきましょう！

入社後は当社設立メンバーがビジネスマナー研修を実施。

マナー基礎やコミュニケーション能力を実践的に習得。

社会人経験のない方でもご安心ください！



STEP2(入社後～研修終了)／6ヶ月～1年間のIT研修START！

現役エンジニアによるHTML・CSS・Javascript・PHP等、

WEB制作に必要とする基礎的な開発言語学習を行っていきます。

PHPでのアプリ開発やWEBデザイン制作に挑戦！



STEP3(研修終了後)／Webデザイナー／Webエンジニアとして、いよいよデビュー！

システム開発、HP制作(ロゴ・バナー作成)などの業務をお任せ！



身につく！学べる！スキル一覧



PCの操作方法やwebの基礎知識

Office関連の知識、実践スキル

HTML/CSS,Javascript,PHP,などのWEB系言語

プログラミング学習をサポート！ITの基礎からレクチャー



あなたの「WEBデザイナーになりたい」を叶えます！

内定から入社までのプログラミング学習をサポート！

プログラミング教材の月額費用を負担いたします。



そして入社後は経験・スキルに応じて基礎から丁寧に教育します。実務で使用する技術的なことだけではなく、ビジネスマナーや、IT業界の基礎知識といったことから、わかりやすくご説明します。



「普段はスマホばかりで、PCを触たことがない」という方もご安心を！

そんな方たちをWebデザイナーやエンジニアに育ててきたノウハウがあります。",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8608482,クリエイティブ系 
web広告運用スタッフ/未経験歓迎/年間休日120日以上/研修制度有/福利厚生も充実※おもろまち,株式会社シーエー・アドバンス,web広告運用スタッフ,"('沖縄県那覇市',)","('月給 17万7,000円 ～ 25万円',)","☆求める人材☆

・SNS、ブログ、アプリ等、ネットサービスを利用するのが好きな方　

・流行に敏感な方

・細かな作業が好きな方

・好奇心旺盛で新しい取り組みに前向きな方



※資格・経験不問

※未経験者大歓迎！





■お仕事内容

ABEMAビデオの設定業務を行っていただきます。

ABEMAでは最新のドラマやアニメなど、様々なユーザー毎に興味を持っていただけるようなコンテンツへの視聴機会を増やしていくためのお仕事です！



サイバーエージェントとテレビ朝日が出資して設立した株式会社ABEMA。

多面の画像や文言を戦略的に対象のユーザーに表示されるよう、ABEMAの管理ツールを用いて設定を行うお仕事です。

対象ユーザーセグメントの設計、整合性チェック、スプレッドシート等を用いた自動入稿等を行っています！

未経験者でも安心の研修体制がありますので、安心してスキルアップすることが可能です！



スキルアップ・キャリアアップをサポート

円滑なサポートで信頼関係を築いた社員は、沖縄のチームになかったプランナー業務を任されサイバーエージェント本社で表彰されるまで活躍の幅を大きく広げています。

正社員登用制度も導入しており、行動や結果次第で大きくスキルアップ、キャリアアップができる環境です。



福利厚生充実！大手グループの安定雇用

住宅手当（月3万円）や各種休暇、

マッサージルーム、フリードリンクなど

大手サイバーエージェントグループならではの

手当や福利厚生が充実しています。",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8667023,クリエイティブ系 
未経験OK！イラストレーター募集,株式会社NEARS(HR事業部),イラストレーター,"('宮崎県都城市',)","('月給 25万円 ～ 35万円',)","◇■求人のポイント■◇



あなたにお任せするのは新規開発中のゲームキャライラスト作成やステッカー等のグッズイラスト、Webサイトにおけるデザイン！



自らの作り出したキャラたちが活躍する姿を堪能してください！





【Point１】未経験からでも挑戦できる！研修カリキュラム！



【Point２】オリジナルキャラを持っていたら世に出すチャンス！



【Point３】様々な開発環境に対応しているのでスキルアップ！



◇■仕事内容■◇



(1)クライアント打合せ



プランナー企業との打合せを通し、世界観や内容、システムなどを理解する。

まずは先輩社員と細かな仕様であったり、用語などの確認を一緒にして頂き、ゲーム開発のやWebデザインの環境に慣れて頂きます。





(2)サンプル作成　提出



企画に沿ったイラスト作成。※２Dでの制作



クライアントのチェック→修正



依頼内容によっては２Dから３Dへの制作

※３Dでのクリエイターがいるので最初は使えなくてもOK



開発環境：unity、UnrealEngine、MAYA、Live2D、illustrator、CLIP STUDIO PAINT



◇■仕事の魅力■◇



自分が産み出した絵が独り立ちしていく姿は感無量です！

まさに産みの親！どんどん出世していく子供たちを一緒に産み出していきましょう！",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7108144,クリエイティブ系 
未経験歓迎！動画編集のお仕事,株式会社NEARS(HR事業部),動画編集,"('宮崎県都城市',)","('月給 24万円 ～ 30万円',)","◇■求人のポイント■◇



クライアントとの打合せをし、編集のイメージ、尺、ターゲットなどを明確にし、最大限の効果を生み出せる編集プランの作成をお任せします！



視聴回数を上げるには。

販売数を上げるには。



お客様の様々な悩みを編集の力で解決！



編集だけではなく、ディレクションにも携われるお仕事です！



編集経験が無い方でもアイディアをたくさんお持ちの方を募集しています！



もちろんクリエイターとして編集に関わってきた方も大歓迎！





【Point１】未経験・微経験からでも挑戦できる！研修カリキュラム！



【Point２】自分でディレクションしたものが世の中で見てもらえる！



【Point３】様々な編集ソフト、編集機器のスキルアップ！



◇■仕事内容■◇



(1)企業様とのミーティング



ご依頼のあった動画に関する打合せ。



※まずは先輩社員と一緒に打合せに参加頂き、企業様、お客様のニーズを知ることからスタートして頂きます。





(2)企画サンプル作成、提出



企業様の依頼に合わせたサンプル、ラフの作成。



企業様へサンプルの提出と企画修正など。



必要に応じて追加撮影なども。



◇■仕事の魅力■◇



自分がディレクションした作品で企業様に喜んでいただける！

携わった動画が日本、世界でバズった時の快感を是非一緒に味わってください！

皆様のご応募お待ちしています。",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7112390,クリエイティブ系 
未経験から始めるイラストレーター！土日祝休み/ 20～30代が活躍中/残業なし,株式会社MEME 人事課,イラストレーター,"('大阪府大阪市北区',)","('月給 26万円 ～ 30万円',)","現在《育成枠》として未経験者を積極採用中です!

 

当社の採用は""人物重視”しております。 

「一緒に働きたい」と思える仲間を集めているので、穏やかで優しいメンバーばかりです! 



【仕事内容】

・デジタルツールを使用し制作

・クライアントとの打ち合わせ

・制作に必要な素材やデータの収集

・デザインのクオリティや納期を管理



身に付くスキル



【Point！】

■キャリアアップ支援

将来的に目指したいキャリアに応じて、どの様なプロジェクトを通してどういったスキルを身につけるべきかなど、希望を叶えるためのキャリアアップ支援を行っていきます。 



■ワークライフバランス

プライベートを楽しんだり、勉強のための時間を確保できるように、ワークライフバランスを大切にした働き方を当社では実現できます。 



研修期間は最長1年間！

一人ひとりのレベルに合わせた教育カリキュラムで丁寧に教えますので、未経験の方でも安心です。



学歴・性別などは一切不問です！

Webデザイナーとして活躍するために必要なことは、「やってみたい」という意欲。

現場で活躍するためのスキルや知識を身につけて、未経験から実務デビューを目指しましょう。",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7388388,クリエイティブ系 
【グラフィックデザイナー】★未経験OK★年間休日125日～/サポート充実/ワークライフバランス◎,合同会社MASAKI,グラフィックデザイナー,"('新潟県長岡市',)","('月給 24万3,000円 ～ 45万円',)","未経験者採用強化中！！



--------仕事内容--------

デザインの基礎を活かしながら、広告やパンフレット、

ウェブサイトなどのデザイン制作に携わります。

また、クライアントの依頼に沿ってデザインを提案したり、

作成をしていくこともありますのでコミュニケーション能力も活かせます！





--------主な研修内容--------

〈　1ヶ月目　〉

◆デザイン基礎研修

デザインの基本原則やカラーリングの基礎を学びます。



◆Adobe Creative Cloud研修

IllustratorやPhotoshopなどのデザインツールの使い方を習得します。



◆デザイントレンド研修

最新のデザイントレンドや市場動向を把握し、

クリエイティブな発想力を養います。



〈　2ヶ月目　〉

◆プロジェクト実践研修

実際のプロジェクトに参加し、クライアントの要望に

応えるデザインを制作します。



————この求人のおすすめポイント————

・未経験歓迎！デザインの基礎から学べます。

・成長中の会社でのキャリア形成が可能です。

・研修が充実しており、スキルアップの機会が豊富です。

・デザインに興味がある方、クリエイティブな仕事に挑戦したい方におすすめです。



◎選考フロー◎

STEP1:書類選考

STEP2:面接(原則1回のみ)

※場合によっては2回

STEP3:合否連絡

※面接に関しては原則オンラインで実施しております。",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7226237,クリエイティブ系 
動画編集スタッフ募集中！【未経験OK】☆充実した研修制度アリ☆平均年齢20代！,FameAgle,動画クリエイター,"('秋田県秋田市',)","('月給 20万円 ～ 50万円',)","【未経験だけど動画クリエイターになりたい！！】



☆☆このような人を求めています☆☆

・働きながらスキルを身につけたい！

・スキルを身につけてキャリアアップしたい！

・動画編集に興味がある！



◾なぜ未経験でも採用するのか？

それは働きながらスキルを習得できる環境があることです！研修期間中は、日中弊社の協力会社先の就業先にて就業し、営業力や提案力といった対人スキルを磨くために活動します。

また、弊社が運営している総合ビジネススクールVISIONにて、動画クリエイターとして必要な専門スキルや専門知識を完全オンラインにて学んでいきます。この研修期間を通して動画クリエイターとして活躍するための準備をしていきます。



◾研修終了後の働き方について

研修終了後は、学んだ動画編集・映像制作スキルを活かし活動して頂きます！

弊社の人員と協力しながら、

・動画ディレクション

・動画撮影

・動画編集　等

を行います。

また、クライアントとコミュニケーションを取りながら作業を進めていく際に、就業先で磨いた対人スキルが活きてきます。



◾キャリアアップに特化した福利厚生

入社して最初の半年間は、２ヶ月毎に定期面談を実施します！会社が1人ひとりに寄り添って、充実した研修を送れるようなサポートを行います。また、動画クリエイターとしてキャリアアップに役立つ資格支援制度を設けております。

その他、研修中の成績優秀者にはリモートワークの環境整備等のサポート体制も整っております。",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8766349,クリエイティブ系 
☆イラストレーター☆【動画編集】福利厚生充実◎/研修充実◎/土日祝休み/完全週休2日制/社風◎,合同会社バンブー,イラストレーター,"('大阪府守口市',)","('月給 24万1,000円 ～ 43万円',)","☆イラストレーター募集☆

未経験の方、積極採用中です！





◎具体的な仕事内容◎

(1)イラストの制作

・広告やパンフレットなどのデザインイラストの制作

・キャラクターデザインやマンガの制作

・商品パッケージのイラスト制作



(2)クライアントの要望に応じたデザイン

・クライアントとの打ち合わせを行い、要望を把握

・イメージに合ったデザインを提案し、修正を行う



◎研修制度◎

約2ヶ月間の基礎研修を受けていただきます。

イラストの基本技術から、デザインソフトの使い方まで、

その後は先輩指導のOJTを実施し、

少しずつ業務を覚えていただきます。

実際のクライアント案件に携わりながら、

実践的なスキルを身につけていただきます。



また研修終了後も、定期的な研修や勉強会が行われますので

スキルアップの機会が豊富です。





◎アピールポイント◎

・約2カ月に渡る研修制度で未経験から働きやすい

・各種手当も充実！土日祝休み他福利厚生◎

・自分のアイデアを活かしてクリエイティブな仕事に携われる



【選考フロー】

面接回数：原則1回のみ

※場合によっては2回",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7316003,クリエイティブ系 
☆グラフィックデザイナー☆【動画編集】福利厚生充実◎/研修充実◎/土日祝休み/完全週休2日制/社風◎,合同会社バンブー,グラフィックデザイナー,"('大阪府守口市',)","('月給 24万1,000円 ～ 43万円',)","業務未経験でも大歓迎！

グラフィックデザイナー業務を担って

いただける方を募集します！



＜職場の雰囲気＞

当社は中途採用の方がほとんどで、

20代から30代の若手の方も活躍をしております！

また、明るく楽しく仕事をしており、

相談などもしやすい環境にあります。



＜具体的な仕事内容＞

・広告やパンフレットのデザイン制作

・ロゴデザインの作成

・ウェブサイトデザインの企画と制作

・イベントのポスターなどのデザイン作成



＜研修制度＞

約2ヶ月間の基礎研修を受けていただきます。

デザインの基礎知識から、デザインツールの操作方法まで、

その後は先輩指導のOJTを実施し、

少しずつ業務を覚えていただきます。



＜アピールポイント＞

・約2カ月に渡る研修制度で未経験から働きやすい

・各種手当も充実！土日祝休み他福利厚生◎

・クリエイティブな仕事に携わりながらスキルアップできる



【選考フロー】

面接回数：原則1回のみ

※場合によっては2回",https://en-gage.net/user/search/?area=0&job=350000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7315895,クリエイティブ系 
