job_title,category
【未経験歓迎】簡単な一般事務/データ入力などがメイン/土日休み/福利厚生充実,合同会社ACM / 一般事務
【初めてでも大丈夫】CAD事務/一生使えるスキルが身に付く/土日祝休み,合同会社ACM / 一般事務
未経験歓迎！エンジニアのサポートをするお仕事です！,株式会社コンテ / ITサポート
【未経験歓迎！！】ガムの製造・検品スタッフ,合同会社ビルドトラスト 採用担当部 / 倉庫内での軽作業
個別指導塾の教室運営サポート みやび石井校,ＮＯＶＡホールディングス株式会社 / 受付
【IT未経験者活躍中】資格取得支援強化！安心の3ヶ月間自社研修≪年間休日125日≫在宅ワーク案件あり,株式会社ブライト / ITサポート
【未経験からSEに！】IT業界でWeb・ゲーム・アプリなどに携わりたい方必見！,株式会社Reg / システムエンジニア
未経験からエンジニアを目指す！完全未経験OK！年間休日124日！,株式会社フィールド / ITサポート
【未経験歓迎】インフラエンジニア/3ヶ月の研修あり/土日祝休み/最新のPC貸与,合同会社ACM / インフラエンジニア
年間休日120日以上！未経験OK！バイク部品の製造スタッフ,株式会社NRS / 製造スタッフ
プラスチック製品の製造スタッフ！重量物の取り扱いがなく、ボタン押すだけなどかんたんな作業ばかりです！,シャインラボ / 製造
【急募！即日面接可能】★カンタンな製造のお仕事★20代30代活躍中★土日休み★未経験OK★社宅無料★,合同会社ネオアシスト / 軽作業スタッフ
事務スタッフ募集（データ入力など）◯未経験歓迎◯土日祝休み◯マニュアルしっかり充実してます,株式会社Ｂ＆ＨＭａｎａｇｅｍｅｎｔ / 一般事務
未経験OK！【ITサポートからエンジニアへ】安心の研修3ヶ月！在宅ワーク案件あり！完全土日祝休み！,株式会社サン / ITサポート
【未経験が活躍/在宅勤務あり】サポートからエンジニアを目指す｜充実の研修3ヶ月｜年間休日125日,株式会社アズ / ITサポート
未経験歓迎◎ワークライフバランスの整っている事務のお仕事◎完全週休二日◎,株式会社グローバルキャリアアート　採用課 / 一般事務
◎未経験歓迎◎【 初めてのIT事務 】専門職種へキャリアアップ可能☆研修制度あり／福利厚生充実,株式会社アイプラス / IT事務
【正】CADデザイン事務｜業界未経験OK｜高収入｜四半期ごとに昇給制度あり,株式会社ファイル / CADオペレーター
☆未経験OK☆ かまぼこの製造・製造補助スタッフ（交通費支給あり！）,株式会社NRS / 製造スタッフ
未経験OK/簡単な業務で年収アップ/不動産賃貸受付事務募集◎,株式会社REM人事部 / 営業事務
【完全未経験OK！】エンジニア候補生募集｜サポート業務からスタート｜研修でしっかり教えます！,株式会社エクシード / ITサポート
未経験OK！手厚い研修制度あり/将来的にはリモート移行可能！,株式会社スリーピック / ゲームテスター
年間休日120日！土日祝休！給与25万以上！年収330万以上！安定基盤のサポート事務,株式会社ＮｏｒｔｈＥａｓｔ / 事務スタッフ
【フルリモートOK】一般事務募集！在宅勤務！,株式会社Areo / 事務スタッフ
【未経験歓迎】ITインフラエンジニア/土日休み/多彩なキャリアパスあり/研修充実,株式会社トレド / ITインフラエンジニア
未経験歓迎！！建築業界での正社員【事務・管理】👷‍♂️,株式会社おそうじ110番 / 事務スタッフ
【リモート実施率85%】未経験応募歓迎！IT事務からスタート┃カラフルな個性┃ユニークな福利厚生,株式会社ゼノン / WEB事務
完全土日祝休み！【将来のエンジニア候補生募集！】完全未経験OK｜一生のスキルが身に付くエンジニア職,株式会社インフェス / ITサポート
完全未経験OK！【エンジニア候補生募集】充実した自社研修｜在宅ワーク案件あり！年間休日123日,株式会社アットマーク / ITサポート
【徳島県】水産系事業のプロダクトマネジメント,うみの株式会社 / 事業企画開発
未経験からITサポートへ｜年間休日120日以上！エンジニア候補生,株式会社サックル / ITサポート
英会話スクール運営スタッフ NOVA北島校,ＮＯＶＡホールディングス株式会社 / 受付
<未経験OK>一般事務,株式会社アンカー / 一般事務
未経験OK！教育業界の事務職！,株式会社カルマ / 教育塾での事務
知識ゼロからでもサポート業務からエンジニアを目指す！！覚えるまでしっかり教えます！年間休日123日,アクロス株式会社 / ITサポート
エンジニアのサポートをするお仕事,株式会社エスネット / ITサポート
迷ったらコレ！大人気の倉庫内モクモク仕分け作業！,株式会社ＫＵＭＡＰＡＲＴＮＥＲＳ / 仕分け梱包スタッフ
"【急募】ゲームテスター☆完全土日祝休み☆未経験でも月給￥250,000～",S.pace株式会社 / ゲームプログラマー
【未経験スタート70%】未経験からエンジニアを目指す｜充実した研修完備｜年間休日120日,株式会社ソルト / システムエンジニア
IT事務・データ入力staff♪ マニュアル完備でラクラク業務(^^) 選べる勤務地多数♪,ＪＨＲ株式会社/東京本社 / IT事務スタッフ
事務作業をしながらIT・WEBの知識をつけてキャリアアップできます！,ＪＨＲ株式会社/東京本社 / テクニカルサポート
受付・来客応対・データ入力staff♪ マニュアル完備でラクラク業務(^^) 選べる勤務地多数♪,ＪＨＲ株式会社/東京本社 / 来客応対や事務サポート
未経験大歓迎の事務・データ入力staff♪ マニュアル完備でラクラク業務(^^) 選べる勤務地多数♪,ＪＨＲ株式会社/東京本社 / データ入力
未経験からでも挑戦できる事務職！メイン業務はデータ入力など簡単な業務◎,株式会社REM人事部 / 一般事務
未経験歓迎！カスタマーサポートのお仕事！お客様からのお問い合わせ対応がメイン◎,株式会社REM人事部 / カスタマーサポート
【未経験歓迎！】助成金関連のお問い合わせ対応スタッフ/昇級・賞与あり！,株式会社REM人事部 / カスタマーサポート
【正】未経験OK！完全土日祝休み！エンジニア候補生募集！,ITクエスト株式会社 / ITサポート
【正社員】未経験OK！研修でしっかり教えます！エンジニア候補生！WEB選考で完結！賞与有り！,株式会社フォート / ITサポート
未経験OK！【IT業界への挑戦歓迎】研修3ヶ月！テレワーク・在宅OK！完全土日祝休み！昇給賞与あり！,株式会社サン / 事務スタッフ
未経験歓迎◎【Webデザイナー】資格取得◎/完全週休2日,株式会社H.J.G / Webデザイナー
【正/未経験歓迎/スキルが身に付く】ITサポート・事務｜充実した研修｜完全土日祝休み｜エンジニア候補,株式会社アーツ / ITサポート
未経験歓迎！ポテンシャル採用◎事務職デビュー,合同会社バズプロ東京営業所 / 一般事務
【IT事務 / WEBデザイン】未経験歓迎！事務からエンジニアへ┃安心研修3ヶ月┃年間休日127日！,株式会社ステージア / IT事務
未経験からでも安心！充実研修あり【エンジニア】テレワーク案件あり！,株式会社MIX / エンジニア
未経験歓迎！土日祝日休み！年間休日120日以上！給与25.5万以上！安定基盤の管理事務,株式会社ＮｏｒｔｈＥａｓｔ / 管理事務
未経験大歓迎！【エンジニア候補生募集】年間休日123日,株式会社アトラクト / ITサポート
【ワークライフバランス充実！】未経験から挑戦できる人事採用担当◎年間休日120日以上◎,ergo株式会社人事部 / システムエンジニア
【一般事務♪】未経験歓迎/年休120日～【研修充実】,株式会社Second / 一般事務
【一般事務】未経験歓迎/年休120日～【研修充実】,株式会社Second / 一般事務
未経験大歓迎！年間休日125日以上！有給取得100%！土日祝休！サポート事務！,株式会社ＮｏｒｔｈＥａｓｔ / サポート事務
