job_title,company_name,work_genre,area,income,description,url
事務スタッフ(データ入力・資料作成),(有)熱海湯河原観光開発,事務スタッフ,"('東京都東京都新宿区大京町',)","('月給 35万円 ～ 55万円',)","事務スタッフさんとして書類作成に関する業務を推進いただける方を募集します。

※Excel、PowerPointが得意な方には簡単な作業です。



▢お任せするお仕事は



・報告書、資料、目録等の書類作成。

・目録の在庫管理

※目録の作成にはExcelをよく使用します。



調査業務のデータをプレゼン資料にしていただくお仕事になります。



「報告書」「資料」「目録」作成は、写真や図形を差し込んだり、データのグラフなどをバランスよく配置し、見やすく分かり易い書類を作成してください。





・早期昇級可

・賞与（年６回）



▼年収例／20代活躍中！

〈例1〉450万円／入社１年目

〈例2〉480万円／入社１年目



▼年収例／30代活躍中！

〈例3〉520万円／入社２年目



※年功序列による階級制度ナシ！

※本人の気持ちと頑張り方次第で早期昇級可！

※幅広い年齢層が活躍中！",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/4892128,企画・事務・管理系
事務スタッフ／月収35万円以上！オフィス系ソフト得意な方大歓迎！,(有)熱海湯河原観光開発,事務スタッフ,"('東京都新宿区新宿',)","('月給 35万円 ～ 55万円',)","学歴不問！経験者歓迎！正社員スタート！

事務アシスタントさんとして書類作成に関する業務を推進いただける方を募集します。



▢お任せするお仕事は



・報告書、資料、目録等の書類作成。

・目録の在庫管理

※目録の作成にはExcelをよく使用します。



調査業務のデータをプレゼン資料にしていただくお仕事になります。



「報告書」「資料」「目録」作成は、写真や図形を差し込んだり、データのグラフなどをバランスよく配置し、見やすく分かり易い書類を作成してください。





💎早期昇級可

💎賞与（年６回）



▼年収例／未経験20代活躍中！

〈例1〉450万円／入社１年目

〈例2〉480万円／入社１年目



▼年収例／未経験30代活躍中！

〈例3〉520万円／入社２年目



※年功序列による階級制度ナシ！若手活躍中！

※本人の気持ちと頑張り方次第で早期昇級可！

※20代活躍中！30代活躍中！40代活躍中！",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/2795532,企画・事務・管理系
事務スタッフ(資料作成・データ入力),(株)大倉ビル,事務スタッフ,"('東京都新宿区',)","('月給 35万円 ～ 55万円',)","✧✧事務スタッフ募集！✧✧



調査業務のデータをプレゼン資料にする為の、報告書、資料等の書類作成に携わっていただける事務スタッフを募集します。



▢お任せするお仕事



・報告書、資料等の書類作成

・在庫管理



写真や図形を差し込んだり、データのグラフなどをバランスよく配置し、見やすく分かり易い書類を作成してください。



学歴不問、Excel、Word、PowerPointが得意な方、是非ご応募ください。





・早期昇給

・賞与／年６回支給



▼年収例

〈例1〉入社5ヶ月目

　380,000✕12＝想定年収 4,560,000円



〈例2〉入社　3年目

　420,000✕12＝想定年収 5,040,000円",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6293041,企画・事務・管理系
一般事務【土日祝休み！賞与あり！未経験OK！】,Only Life 株式会社,一般事務,"('石川県金沢市',)","('月給 23万円 ～ 32万円',)","【お仕事内容】



＊資料作成

＊プレゼンテーション資料作成

＊データ入力・データ集計

＊電話やメールの応対

＊エントリー業務

＊キャリアアドバイザーのサポート業務



◎未経験の方には

データ入力など、あなたのレベルに合わせて、簡単なお仕事からスタート。

3~6ヶ月かけてお仕事に慣れていただきます！





【弊社の自信】



➀給与体制の充実！

→業界や日本全体で見ても好待遇で昇給制度もしっかり。私たちがしっかりとした社内体制で幸福度高くお仕事をする事が、弊社サービスの高い価値貢献に繋がると考えます。



➁やりがいがある！

→事業内容はキャリアの相談を受けるお仕事。お客様の人生を左右する大切な役割。また風通しもよく、あなたの意見でいろいろなイベントや事業が生まれる事も？



(3)将来性がある！

→転職が当たり前の時代になり、会社としても業界としても数字は右肩上がりのはず。また個人の市場価値も高くなりやすい！",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8608230,企画・事務・管理系
事務職【土日祝休み！月給23万～！未経験OK！】,Only Life 株式会社,一般事務,"('新潟県新潟市中央区',)","('月給 23万円 ～ 32万円',)","【お仕事内容】



＊資料作成

＊プレゼンテーション資料作成

＊データ入力・データ集計

＊電話やメールの応対

＊エントリー業務

＊キャリアアドバイザーのサポート業務



◎未経験の方には

データ入力など、あなたのレベルに合わせて、簡単なお仕事からスタート。

3~6ヶ月かけてお仕事に慣れていただきます！





【弊社の自信】



➀給与体制の充実！

→業界や日本全体で見ても好待遇で昇給制度もしっかり。私たちがしっかりとした社内体制で幸福度高くお仕事をする事が、弊社サービスの高い価値貢献に繋がると考えます。



➁やりがいがある！

→事業内容はキャリアの相談を受けるお仕事。お客様の人生を左右する大切な役割。また風通しもよく、あなたの意見でいろいろなイベントや事業が生まれる事も？



(3)将来性がある！

→転職が当たり前の時代になり、会社としても業界としても数字は右肩上がりのはず。また個人の市場価値も高くなりやすい！",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8658227,企画・事務・管理系
事務職【土日祝休み！月給24万～！未経験OK！】,Only Life 株式会社,一般事務,"('東京都台東区',)","('月給 24万円 ～ 32万円',)","【お仕事内容】



＊資料作成

＊プレゼンテーション資料作成

＊データ入力・データ集計

＊電話やメールの応対

＊エントリー業務

＊キャリアアドバイザーのサポート業務



◎未経験の方には

データ入力など、あなたのレベルに合わせて、簡単なお仕事からスタート。

3~6ヶ月かけてお仕事に慣れていただきます！





【弊社の自信】



➀給与体制の充実！

→業界や日本全体で見ても好待遇で昇給制度もしっかり。私たちがしっかりとした社内体制で幸福度高くお仕事をする事が、弊社サービスの高い価値貢献に繋がると考えます。



➁やりがいがある！

→事業内容はキャリアの相談を受けるお仕事。お客様の人生を左右する大切な役割。また風通しもよく、あなたの意見でいろいろなイベントや事業が生まれる事も？



(3)将来性がある！

→転職が当たり前の時代になり、会社としても業界としても数字は右肩上がりのはず。また個人の市場価値も高くなりやすい！",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8658073,企画・事務・管理系
即日働きたい方優先！若手活躍中！『簡単』倉庫管理、軽作業／未経験OK！,SocialQuality,軽作業,"('東京都日野市',)","('月給 31万円 ～ 50万円',)","【業務内容】男女比率6：4

主に、倉庫内のピッキング・梱包等の軽作業、通販サイトで注文された商品を扱います。



幅広い年齢層の方が働いています！



新人スタッフの指導、既存スタッフのサポート、点呼、出欠確認、日報作成、シフトの管理、会議の参加が主なお仕事になります。



入社後、まずは現場作業を経験して頂き、半年を目安にスタッフ管理業務へと移行します。



「人と関わることが好き」「面倒見がいいと言われる」そんな方に向いているお仕事です！



お気軽にご応募をお待ちしています。",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8695370,企画・事務・管理系
アシスタント事務*未経験OK*転勤なし*20代～30代活躍*月収30万円可,アイル株式会社,一般事務,"('福岡県福岡市中央区',)","('月給 24万円 ～ 50万円',)","《月収30万円可！＆スキルアップ実現》

上場グループ企業の一員として、安定した基盤を持つ当社。

基礎から学べる研修や丁寧なOJTも充実しており、

未経験からでも月収30万円を実現できる専門スキルが手に入ります!





《豊富なキャリアパスあり》

スキルを身につけたあとゆくゆくは

CADオペレーター、営業のサポートなどへの

キャリアチェンジも可能です♪



【未経験でも安心！】

入社後の研修やOJTを通じ、イチから知識を学べます！

元コールセンタースタッフや飲食スタッフなど、

さまざまな経歴の先輩が活躍中です。



【お仕事内容は……】

建設プロジェクトを進める際の図面の作成や、

資料作成、PC入力等の事務業務、

現場管理・進捗確認。実際のプロジェクト現場での打ち合わせ

写真撮影、スケジュール管理、打ち合わせなどをお任せします。



【こんなスキルがGETできる！】

建設の専門的な知識や、役立つPCスキルも磨けます！



【こんなモノづくりに関われる！】

＊大型ショッピングモール・高級マンション・リゾート施設・ホテルなどの建設

＊官公庁・役所・大学・病院などの建設

＊橋・道路・ダム・トンネルなどのインフラ整備

＊発電所や製鉄工場などプラント分野の建設

＊電気・空調・給排水などの設備設置",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8113682,企画・事務・管理系
【事務スタッフ◎】無資格OK◎/未経験OK◎/ボーナス年2回支給◎/完全週休2日制◎,アシスト株式会社,事務スタッフ,"('沖縄県糸満市',)","('月給 17万円 ～ 20万円',)","≪仕事内容≫

・データの入力業務

・書類等の整理作業

・電話の応対



【私たちの魅力】

✅安心のバックアップ体制◎

＝＝＝＝＝＝＝＝＝＝＝＝＝

急な都合が入ってしまったり

ご家庭の事情、お迎えなど

急遽外さなくてはいけない

状況など、あるかと思います!

こういった際のバックアップ体制整っております!



急なご予定や事情などあった際は

臨機応変にご対応させていただきます◎



お子様の送迎や、お迎えなどある際は

出勤時間を遅くしたり、退勤時間を早めたり

勤務時間の調整可能になりますので

家事、育児、家庭との両立したい方にはピッタリになります◎



✅抜群の働きやすさ♪

＝＝＝＝＝＝＝＝＝＝＝＝＝

仕事歴の長いメンバーが多く在籍しており

何でも話しあえる風通しのいい職場環境から

仕事での悩みなども気軽に先輩や上司に

相談できる雰囲気で

お悩みを一人で抱え込む必要性はありません◎



もちろんあなたの頑張りから取り組みは

しっかり評価をするので

安心して勤務できます♪



【私たちについて】

軽配送事業、引っ越し事業

エアコンクリーニング事業など

様々な事業を手掛け

県内では類を見ない成長をしております。



この度、さらに拡大をしていくというのもあり

新規オープニングスタッフを募集します!



皆様が働きやすいような環境から

制度を準備しております◎



皆様の応募お待ちしております◎",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8633806,企画・事務・管理系
★未経験歓迎★一般事務募集/新しい知識を手に入れよう/研修充実/資格支援/年間休日120日以上,アップ株式会社,一般事務,"('兵庫県神戸市中央区',)","('月給 23万円 ～ 30万円',)","毎日順調に回るよう、事務業務でのサポートをお願いします。

過度な業務量をお任せすることは無いので安心してください！



〈主な仕事内容〉

・売上・仕入れ管理

・伝票入力

・簡単な見積作成

・発注手配

・経費精算などの経理関連業務

・電話応対（取次ぎがメイン）



はじめての方でも歓迎！

基本的なPC操作や電話対応ができればOK！

とはいえPCはやはり苦手という方にも基本操作をお伝えしできるまでしっかりサポートします！

やっていく中で金額が大きな見積は営業担当にお任せしたり、わからないことは先輩社員や製品仕入れ先の方に質問できるので心配せず聞いてください。





【研修体制】

入社後、1ヶ月はビジネスマナー、IT座学、PC操作など基礎基本の徹底を行いつつ社内で面談を重ねて将来像もすり合わせを行います。





【サポート体制】

メンター制度を行なっています。

先輩社員にいつでも質問ができるような環境にしています。





【選考について】

一次面接→二次面接→最終面接",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8685298,企画・事務・管理系
